,is_employed,self_employed,credit_score,eviction,pets,criminal,age,score,is_good
761,1,0,0.372,1,0,1,0.3411764705882353,20.0,0.0
1678,1,0,0.2,1,0,1,0.3058823529411765,20.0,0.0
947,1,0,0.264,1,0,1,0.24705882352941178,77.21004566210046,1.0
2334,1,0,0.294,1,0,0,0.4117647058823529,20.0,0.0
364,1,0,0.458,1,0,1,0.2235294117647059,20.0,0.0
689,1,0,0.304,1,0,1,0.4117647058823529,20.0,0.0
601,1,0,0.298,1,0,1,0.3764705882352941,20.0,0.0
870,0,0,0.498,1,0,1,0.24705882352941178,80.08767123287672,1.0
1264,0,1,0.478,1,0,0,0.29411764705882354,79.612100456621,1.0
251,1,0,0.756,1,0,1,0.2823529411764706,79.26849315068493,1.0
1626,1,0,0.406,1,0,1,0.3764705882352941,42.23881278538813,0.0
695,0,0,0.228,1,0,1,0.3411764705882353,20.0,0.0
2215,1,0,0.638,1,0,1,0.5176470588235295,80.06666666666666,1.0
532,1,0,0.536,1,0,1,0.4117647058823529,82.27214611872147,1.0
2677,1,0,0.302,1,0,1,0.7176470588235294,20.0,0.0
2272,1,0,0.76,1,0,1,0.32941176470588235,82.35616438356165,1.0
444,0,0,0.286,1,0,0,0.6941176470588235,20.0,0.0
2563,1,0,0.254,1,0,1,0.5647058823529412,20.0,0.0
924,1,0,0.35,1,0,1,0.7647058823529411,20.0,0.0
1797,1,0,0.328,1,0,1,0.5647058823529412,20.0,0.0
1409,1,0,0.838,1,0,1,0.6352941176470588,82.65022831050229,1.0
1246,1,0,0.306,1,0,1,0.24705882352941178,20.0,0.0
1770,1,0,0.334,1,0,1,0.29411764705882354,20.0,0.0
904,1,0,0.292,1,0,0,0.2823529411764706,20.0,0.0
2760,0,1,0.618,1,0,1,0.6470588235294118,82.44018264840183,1.0
199,0,1,0.794,1,0,1,0.4588235294117647,78.84840182648402,1.0
1856,0,0,0.87,1,0,1,0.611764705882353,82.73424657534247,1.0
1807,1,0,0.324,1,0,1,0.38823529411764707,20.0,0.0
1966,1,0,0.558,1,0,1,0.38823529411764707,42.16524411661398,0.0
2377,1,0,0.278,1,0,0,0.25882352941176473,20.0,0.0
2008,0,0,0.306,1,0,1,0.4,20.0,0.0
73,1,0,0.414,1,0,1,0.3058823529411765,81.70502283105023,1.0
760,1,0,0.296,1,0,1,0.43529411764705883,20.0,0.0
429,1,0,0.618,1,0,1,0.5411764705882353,80.80182648401826,1.0
2163,1,0,0.326,1,0,1,0.6823529411764706,78.7013698630137,1.0
1204,1,0,0.426,1,0,0,0.3764705882352941,83.40639269406392,1.0
1633,1,0,0.286,1,0,1,0.25882352941176473,81.8730593607306,1.0
1914,1,0,0.386,1,0,0,0.7176470588235294,20.0,0.0
1907,1,0,0.244,1,0,1,0.36470588235294116,78.13424657534246,1.0
803,0,0,0.298,1,0,1,0.38823529411764707,20.0,0.0
2405,1,0,0.438,1,0,1,0.4117647058823529,20.0,0.0
2724,1,0,0.304,1,0,1,0.4588235294117647,20.0,0.0
2140,1,0,0.332,1,0,1,0.29411764705882354,20.0,0.0
1340,1,0,0.77,1,0,1,0.25882352941176473,79.03744292237442,1.0
1991,0,1,0.57,1,0,1,0.6705882352941176,20.0,0.0
1428,1,0,0.35,1,0,0,0.3764705882352941,83.28036529680365,1.0
162,1,0,0.434,1,0,0,0.3764705882352941,20.0,0.0
2035,1,0,0.0,0,0,0,0.5411764705882353,81.64200913242009,1.0
712,1,0,0.254,1,0,1,0.38823529411764707,20.0,0.0
524,1,0,0.29,1,0,1,0.4588235294117647,20.0,0.0
1498,0,1,0.36,1,0,1,0.2823529411764706,20.0,0.0
964,0,0,0.386,1,0,0,0.8588235294117647,20.0,0.0
1385,0,1,0.76,1,0,1,0.35294117647058826,78.61735159817351,1.0
493,1,0,0.56,1,0,1,0.27058823529411763,83.46940639269407,1.0
128,1,0,0.286,1,0,1,0.29411764705882354,20.0,0.0
903,1,1,0.272,1,0,1,0.32941176470588235,20.0,0.0
1237,0,0,0.334,1,0,0,0.25882352941176473,20.0,0.0
1329,1,0,0.286,1,0,1,0.27058823529411763,83.28036529680365,1.0
349,1,0,0.578,1,0,1,0.25882352941176473,78.82338890324804,1.0
2715,1,0,0.272,1,0,1,0.5176470588235295,20.0,0.0
303,1,0,0.3,1,0,1,0.2235294117647059,82.44018264840183,1.0
1550,1,0,0.284,1,0,0,0.5058823529411764,20.0,0.0
2200,1,0,0.698,1,0,1,0.4588235294117647,82.06210045662101,1.0
264,1,0,0.9,1,0,1,0.7176470588235294,83.25936073059361,1.0
2449,1,0,0.234,1,0,0,0.38823529411764707,20.0,0.0
605,1,0,0.286,1,0,1,0.32941176470588235,79.20547945205479,1.0
944,1,0,0.314,1,0,0,0.3176470588235294,20.0,0.0
807,1,0,0.244,1,0,1,0.36470588235294116,20.0,0.0
2769,0,1,0.55,1,0,1,0.4588235294117647,20.0,0.0
1177,1,0,0.286,1,0,1,0.24705882352941178,59.65098610706305,0.0
1230,1,0,0.322,1,0,1,0.27058823529411763,20.0,0.0
382,1,0,0.316,1,0,1,0.6,20.0,0.0
2640,1,0,0.284,1,0,1,0.49411764705882355,20.0,0.0
2088,0,0,0.628,1,0,1,0.8117647058823529,79.83561643835617,1.0
2372,1,0,0.286,1,0,1,0.3176470588235294,65.54784907474165,0.0
2736,1,0,0.286,1,0,1,0.4823529411764706,77.69315068493151,1.0
2739,1,0,0.374,1,0,0,0.5411764705882353,20.0,0.0
420,1,0,0.384,1,0,1,0.4588235294117647,77.2730593607306,1.0
2056,1,1,0.694,1,0,1,0.3764705882352941,82.58721461187214,1.0
324,1,0,0.286,1,0,1,0.5882352941176471,75.92768783727689,1.0
1440,1,0,0.594,1,0,1,0.2823529411764706,85.08675799086758,1.0
503,1,0,0.394,1,0,1,0.4117647058823529,75.78768108800631,1.0
2527,1,0,0.348,1,0,1,0.35294117647058826,20.0,0.0
1030,0,1,0.384,1,0,0,0.5294117647058824,84.01552511415525,1.0
650,1,0,0.244,1,0,0,0.4,20.0,0.0
1722,1,0,0.354,1,0,1,0.3411764705882353,20.0,0.0
920,1,0,0.308,1,0,1,0.6470588235294118,20.0,0.0
644,1,1,0.386,1,0,1,0.3058823529411765,82.46118721461187,1.0
949,0,1,0.496,1,0,1,0.4,80.80182648401826,1.0
2031,1,0,0.294,1,0,0,0.3764705882352941,20.0,0.0
1278,1,0,0.86,1,0,1,0.6588235294117647,43.92856859241612,0.0
889,0,1,0.19,1,0,1,0.47058823529411764,20.0,0.0
1939,1,0,0.328,1,0,1,0.2823529411764706,20.0,0.0
2392,1,0,0.472,1,0,1,0.2823529411764706,83.63744292237443,1.0
2321,1,0,0.784,1,0,1,0.29411764705882354,82.2931506849315,1.0
1904,1,0,0.212,1,0,1,0.38823529411764707,20.0,0.0
1183,1,1,0.262,1,0,1,0.5176470588235295,20.0,0.0
2356,0,0,0.4,1,0,0,0.4823529411764706,20.0,0.0
2476,1,0,0.502,1,0,1,0.43529411764705883,20.0,0.0
442,1,0,0.378,1,0,0,0.27058823529411763,20.0,0.0
145,0,0,0.482,1,0,1,0.6823529411764706,77.37808219178082,1.0
338,1,1,0.548,1,0,1,0.6941176470588235,84.05753424657534,1.0
1863,1,0,0.63,1,0,1,0.49411764705882355,77.7351598173516,1.0
666,1,0,0.378,1,0,1,0.36470588235294116,20.0,0.0
1249,0,0,0.286,1,0,1,0.27058823529411763,83.9945205479452,1.0
2373,1,0,0.682,1,0,1,0.4235294117647059,83.72146118721462,1.0
428,1,0,0.272,1,0,1,0.29411764705882354,20.0,0.0
1674,1,0,0.332,1,0,1,0.35294117647058826,20.0,0.0
275,1,0,0.476,1,0,1,0.24705882352941178,20.0,0.0
855,1,0,0.438,1,0,1,0.25882352941176473,79.14246575342466,1.0
581,1,0,0.0,0,0,0,0.3058823529411765,46.522602739726025,0.0
994,1,0,0.248,1,0,0,0.38823529411764707,20.0,0.0
2548,1,0,0.722,1,0,1,0.6,82.12511415525114,1.0
1088,1,0,0.46,1,0,1,0.3058823529411765,81.91506849315068,1.0
1917,1,0,0.312,1,0,0,0.32941176470588235,20.0,0.0
1053,0,0,0.518,1,0,1,0.8235294117647058,81.8730593607306,1.0
2523,1,0,0.314,1,0,1,0.4823529411764706,64.7432022389159,0.0
1710,1,0,0.326,1,0,1,0.4588235294117647,20.0,0.0
1699,1,1,0.31,1,0,1,0.3058823529411765,20.0,0.0
245,1,0,0.62,1,0,1,0.25882352941176473,84.18356164383562,1.0
2642,1,0,0.286,1,0,1,0.36470588235294116,20.0,0.0
2289,1,0,0.762,1,0,1,0.5411764705882353,77.39908675799087,1.0
1038,1,0,0.354,1,0,1,0.47058823529411764,20.0,0.0
1132,0,1,0.802,1,0,1,0.5882352941176471,82.86027397260274,1.0
100,1,0,0.31,1,0,0,0.25882352941176473,20.0,0.0
399,0,0,0.25,1,0,1,0.5294117647058824,20.0,0.0
1531,1,0,0.82,1,0,1,0.27058823529411763,80.44474885844748,1.0
625,1,0,0.466,1,0,1,0.3411764705882353,84.43561643835616,1.0
1569,1,0,0.556,1,0,1,0.24705882352941178,82.90228310502283,1.0
783,1,0,0.442,1,0,1,0.4,77.69315068493151,1.0
1953,1,0,0.51,1,0,1,0.23529411764705882,84.85570776255707,1.0
707,1,0,0.216,1,0,1,0.24705882352941178,20.0,0.0
2474,1,0,0.602,1,0,1,0.611764705882353,70.0,1.0
1973,1,0,0.292,1,0,0,0.4235294117647059,62.793410332169394,0.0
802,1,0,0.57,1,0,1,0.7411764705882353,20.0,0.0
1384,1,0,0.516,1,0,1,0.4588235294117647,78.15525114155251,1.0
1934,1,0,0.22,1,0,0,0.3176470588235294,20.0,0.0
683,1,0,0.272,1,0,1,0.5764705882352941,20.0,0.0
2522,1,0,0.256,1,0,1,0.4823529411764706,77.21004566210046,1.0
814,1,0,0.318,1,0,1,0.3058823529411765,20.0,0.0
1729,1,0,0.726,1,0,1,0.3058823529411765,80.96986301369863,1.0
1460,1,0,0.594,1,0,1,0.5647058823529412,72.14604566210046,0.0
1567,0,0,0.37,1,0,1,0.5294117647058824,20.0,0.0
711,1,0,0.31,1,0,1,0.32941176470588235,20.0,0.0
1290,1,0,0.188,1,0,1,0.5411764705882353,20.0,0.0
2347,1,0,0.272,1,0,1,0.4,20.0,0.0
2197,1,0,0.334,1,0,1,0.25882352941176473,77.10502283105023,1.0
1161,1,0,0.712,1,0,1,0.38823529411764707,79.45753424657535,1.0
112,1,0,0.276,1,0,1,0.36470588235294116,60.333906764362325,0.0
94,1,0,0.334,1,0,0,0.3058823529411765,20.0,0.0
1109,1,0,0.282,1,0,1,0.27058823529411763,20.0,0.0
366,1,0,0.384,1,0,1,0.32941176470588235,20.0,0.0
1552,0,0,0.386,1,0,1,0.6470588235294118,20.0,0.0
151,1,0,0.37,1,0,1,0.3176470588235294,20.0,0.0
2541,1,0,0.338,1,0,1,0.32941176470588235,20.0,0.0
555,1,0,0.208,1,0,1,0.4470588235294118,20.0,0.0
2578,0,1,0.852,1,0,1,0.6352941176470588,82.08310502283105,1.0
1375,1,0,0.678,1,0,1,0.5058823529411764,81.97808219178083,1.0
99,1,0,0.326,1,0,1,0.25882352941176473,20.0,0.0
2207,1,0,0.314,1,0,1,0.25882352941176473,20.0,0.0
248,1,0,0.388,1,0,1,0.5294117647058824,20.0,0.0
2117,1,0,0.652,1,0,1,0.5176470588235295,75.64122314544501,1.0
647,1,0,0.236,1,0,0,0.4,20.0,0.0
1487,1,0,0.152,1,0,1,0.23529411764705882,20.0,0.0
675,1,0,0.256,1,0,1,0.4470588235294118,20.0,0.0
164,1,0,0.864,1,0,1,0.5882352941176471,82.6082191780822,1.0
1034,1,0,0.39,1,0,1,0.38823529411764707,80.82283105022832,1.0
1906,1,0,0.384,1,0,1,0.2823529411764706,20.0,0.0
249,1,0,0.62,1,0,1,0.36470588235294116,20.0,0.0
1019,1,0,0.356,1,0,1,0.4235294117647059,20.0,0.0
2099,1,0,0.212,1,0,0,0.3176470588235294,20.0,0.0
53,1,0,0.292,1,0,0,0.4588235294117647,77.79817351598173,1.0
1954,0,0,0.286,1,0,1,0.7058823529411765,72.77273320287019,0.0
523,1,0,0.232,1,0,1,0.27058823529411763,20.0,0.0
2558,1,0,0.528,1,0,1,0.4588235294117647,84.45662100456622,1.0
2306,1,0,0.19,1,0,1,0.3176470588235294,20.0,0.0
350,1,0,0.39,1,0,1,0.7176470588235294,20.0,0.0
2084,1,1,0.286,1,0,1,0.6705882352941176,20.0,0.0
2745,1,0,0.392,1,0,1,0.3058823529411765,43.64878479893946,0.0
968,1,0,0.612,1,0,1,0.29411764705882354,81.22191780821917,1.0
1452,1,0,0.366,1,0,1,0.4588235294117647,20.0,0.0
262,1,0,0.286,1,0,0,0.35294117647058826,20.0,0.0
1138,1,0,0.244,1,0,1,0.27058823529411763,20.0,0.0
1785,1,0,0.294,1,0,1,0.5529411764705883,20.0,0.0
1771,1,0,0.628,1,0,1,0.3058823529411765,78.33306317814092,1.0
857,0,0,0.28,1,0,1,0.6823529411764706,20.0,0.0
266,1,0,0.414,1,0,1,0.25882352941176473,20.0,0.0
1244,1,0,0.334,1,0,0,0.3058823529411765,20.0,0.0
1423,0,1,0.548,1,0,0,0.4117647058823529,76.35193026151931,1.0
269,1,0,0.632,1,0,1,0.3764705882352941,41.84913074441791,0.0
421,1,0,0.358,1,0,1,0.4235294117647059,20.0,0.0
1675,1,0,0.364,1,0,1,0.4588235294117647,20.0,0.0
485,1,1,0.288,1,0,1,0.23529411764705882,20.0,0.0
1001,1,0,0.384,1,0,1,0.5882352941176471,20.0,0.0
1112,0,1,0.396,1,0,1,0.4588235294117647,77.10502283105023,1.0
958,1,0,0.374,1,0,1,0.24705882352941178,82.7972602739726,1.0
1809,1,0,0.382,1,0,1,0.25882352941176473,79.8986301369863,1.0
790,1,0,0.168,1,0,1,0.4,20.0,0.0
203,1,0,0.46,1,0,1,0.27058823529411763,77.88219178082191,1.0
1640,1,1,0.294,1,0,0,0.3764705882352941,20.0,0.0
2223,1,0,0.244,1,0,0,0.38823529411764707,20.0,0.0
258,1,0,0.286,1,0,1,0.4588235294117647,20.0,0.0
2316,1,0,0.352,1,0,1,0.3058823529411765,20.0,0.0
1560,1,0,0.224,1,0,1,0.29411764705882354,20.0,0.0
1508,1,0,0.264,1,0,1,0.43529411764705883,20.0,0.0
46,0,0,0.44,1,0,1,0.24705882352941178,78.99543378995433,1.0
866,1,0,0.424,1,0,0,0.5294117647058824,55.923857014577486,0.0
401,0,0,0.286,1,0,1,0.47058823529411764,20.0,0.0
220,1,0,0.256,1,0,1,0.3176470588235294,20.0,0.0
2151,1,0,0.286,1,0,0,0.3058823529411765,20.0,0.0
310,1,0,0.864,1,0,1,0.611764705882353,82.14611872146119,1.0
794,1,0,0.334,1,0,1,0.4,78.28127853881278,1.0
1834,1,1,0.302,1,0,1,0.3058823529411765,20.0,0.0
1297,1,0,0.444,1,0,1,0.5411764705882353,79.05844748858448,1.0
515,1,0,0.728,1,0,1,0.35294117647058826,80.48632965611992,1.0
1387,1,0,0.144,1,0,1,0.5529411764705883,20.0,0.0
1163,0,0,0.36,1,0,1,0.5294117647058824,20.0,0.0
1413,1,0,0.316,1,0,1,0.29411764705882354,20.0,0.0
1612,1,0,0.56,1,0,1,0.4470588235294118,80.75981735159817,1.0
1926,1,0,0.73,1,0,1,0.29411764705882354,81.93607305936074,1.0
113,1,0,0.296,1,0,1,0.2823529411764706,20.0,0.0
1501,1,0,0.828,1,0,1,0.5647058823529412,81.93607305936074,1.0
1774,1,0,0.224,1,0,0,0.5176470588235295,20.0,0.0
2103,1,0,0.346,1,0,1,0.24705882352941178,20.0,0.0
824,0,0,0.32,1,0,1,0.6588235294117647,20.0,0.0
1220,1,0,0.456,1,0,1,0.25882352941176473,81.07488584474886,1.0
1772,1,0,0.414,1,0,1,0.35294117647058826,20.0,0.0
1475,1,0,0.23,1,0,1,0.3058823529411765,20.0,0.0
1104,1,0,0.27,1,0,1,0.4588235294117647,20.0,0.0
307,1,0,0.244,1,0,1,0.23529411764705882,20.0,0.0
1561,1,0,0.734,1,0,1,0.2823529411764706,78.99543378995433,1.0
1790,1,0,0.596,1,0,1,0.5764705882352941,78.26027397260275,1.0
1546,1,0,0.444,1,0,1,0.32941176470588235,79.14246575342466,1.0
2168,1,0,0.48,1,0,0,0.4588235294117647,20.0,0.0
2459,0,1,0.136,1,0,1,0.49411764705882355,20.0,0.0
1591,1,0,0.34,1,0,0,0.35294117647058826,20.0,0.0
1687,1,0,0.724,1,0,1,0.5176470588235295,79.20547945205479,1.0
2078,1,0,0.352,1,0,1,0.3058823529411765,20.0,0.0
1267,0,0,0.36,1,0,1,0.9058823529411765,20.0,0.0
1201,1,0,0.356,1,0,1,0.4588235294117647,20.0,0.0
1911,1,0,0.366,1,0,1,0.3176470588235294,20.0,0.0
1718,1,0,0.286,1,0,1,0.5411764705882353,63.173043282526216,0.0
962,1,0,0.644,1,0,1,0.24705882352941178,78.32328767123288,1.0
2659,1,0,0.302,1,0,0,0.32941176470588235,20.0,0.0
1248,1,0,0.284,1,0,1,0.6588235294117647,81.57899543378996,1.0
1098,1,0,0.412,1,0,1,0.38823529411764707,81.34794520547945,1.0
2164,1,1,0.198,1,0,0,0.3411764705882353,20.0,0.0
1144,1,0,0.412,1,0,1,0.3764705882352941,20.0,0.0
1420,1,0,0.306,1,0,1,0.4,20.0,0.0
1453,1,0,0.184,1,0,0,0.2823529411764706,20.0,0.0
2536,0,0,0.346,1,0,1,0.5882352941176471,20.0,0.0
168,1,0,0.3,1,0,0,0.29411764705882354,20.0,0.0
2626,1,0,0.186,1,0,1,0.38823529411764707,20.0,0.0
212,1,0,0.304,1,0,0,0.4823529411764706,20.0,0.0
1349,1,0,0.628,1,0,1,0.38823529411764707,84.64566210045662,1.0
1697,1,0,0.34,1,0,1,0.29411764705882354,20.0,0.0
1331,1,0,0.494,1,0,1,0.2235294117647059,20.0,0.0
227,1,0,0.262,1,0,1,0.6470588235294118,20.0,0.0
2255,1,0,0.286,1,0,1,0.21176470588235294,20.0,0.0
522,1,0,0.536,1,0,0,0.35294117647058826,20.0,0.0
1539,1,0,0.36,1,0,1,0.38823529411764707,20.0,0.0
2478,1,0,0.272,1,0,1,0.4117647058823529,20.0,0.0
130,1,0,0.328,1,0,1,0.3411764705882353,20.0,0.0
2,1,0,0.35,1,0,1,0.29411764705882354,20.0,0.0
799,1,0,0.464,1,0,1,0.2235294117647059,77.5041095890411,1.0
1337,1,0,0.418,1,0,1,0.7294117647058823,78.68036529680366,1.0
2203,1,0,0.322,1,0,1,0.3411764705882353,79.05844748858448,1.0
2592,1,0,0.462,1,0,1,0.29411764705882354,67.84671135723308,0.0
919,1,0,0.416,1,0,1,0.3764705882352941,81.26392694063927,1.0
1804,1,0,0.606,1,0,1,0.6705882352941176,81.76803652968036,1.0
1764,1,1,0.58,1,0,1,0.2823529411764706,78.26027397260275,1.0
417,0,1,0.286,1,0,0,0.27058823529411763,20.0,0.0
953,1,0,0.39,1,0,0,0.4823529411764706,20.0,0.0
928,1,0,0.324,1,0,1,0.5411764705882353,20.0,0.0
2709,1,0,0.728,1,0,1,0.27058823529411763,77.54611872146118,1.0
1341,1,0,0.44,1,0,1,0.25882352941176473,31.740975726988705,0.0
951,1,0,0.352,1,0,1,0.23529411764705882,20.0,0.0
2294,1,0,0.598,1,0,1,0.36470588235294116,64.64272384355768,0.0
1896,1,0,0.474,1,0,0,0.4117647058823529,34.57452369705559,0.0
715,1,0,0.342,1,0,1,0.4470588235294118,20.0,0.0
464,1,0,0.286,1,0,1,0.3058823529411765,20.0,0.0
2278,1,0,0.232,1,0,1,0.4588235294117647,20.0,0.0
488,1,1,0.32,1,0,1,0.3176470588235294,20.0,0.0
1820,1,0,0.286,1,0,0,0.5176470588235295,20.0,0.0
971,1,0,0.316,1,0,1,0.38823529411764707,20.0,0.0
2217,1,0,0.384,1,0,1,0.6235294117647059,20.0,0.0
2301,0,1,0.368,1,0,1,0.5294117647058824,79.73059360730593,1.0
2017,0,1,0.716,1,0,1,0.3176470588235294,84.2675799086758,1.0
47,1,0,0.344,1,0,1,0.3176470588235294,20.0,0.0
1013,0,0,0.55,1,0,1,0.23529411764705882,79.1634703196347,1.0
1486,1,0,0.288,1,0,1,0.27058823529411763,20.0,0.0
1221,1,0,0.574,1,0,1,0.4470588235294118,77.94520547945206,1.0
1400,1,0,0.578,1,0,0,0.25882352941176473,82.14611872146119,1.0
632,1,0,0.384,1,0,1,0.2823529411764706,20.0,0.0
1407,1,0,0.286,1,0,0,0.36470588235294116,20.0,0.0
293,1,0,0.718,1,0,1,0.3764705882352941,59.85641806189753,0.0
452,1,0,0.428,1,0,1,0.3058823529411765,20.0,0.0
1178,1,0,0.326,1,0,1,0.38823529411764707,20.0,0.0
273,1,0,0.836,1,0,1,0.5882352941176471,84.35159817351598,1.0
2560,1,1,0.682,1,0,1,0.23529411764705882,80.08767123287672,1.0
1185,1,0,0.286,1,0,1,0.4117647058823529,83.74246575342465,1.0
270,1,0,0.234,1,0,1,0.47058823529411764,20.0,0.0
500,1,0,0.358,1,0,1,0.5176470588235295,20.0,0.0
1259,1,0,0.318,1,0,1,0.3058823529411765,20.0,0.0
158,1,0,0.71,1,0,1,0.3176470588235294,79.71743655091853,1.0
1273,1,0,0.3,1,0,1,0.4,20.0,0.0
1020,1,0,0.428,1,0,1,0.4117647058823529,77.37808219178082,1.0
2699,1,0,0.848,1,0,1,0.4470588235294118,78.09223744292237,1.0
353,1,0,0.31,1,0,1,0.5058823529411764,20.0,0.0
81,0,0,0.348,1,0,1,0.35294117647058826,80.29771689497717,1.0
1044,1,0,0.56,1,0,1,0.5647058823529412,83.57442922374429,1.0
309,1,0,0.644,1,0,1,0.3411764705882353,79.1214611872146,1.0
2121,1,1,0.278,1,0,1,0.43529411764705883,20.0,0.0
2779,1,0,0.348,1,0,1,0.27058823529411763,20.0,0.0
1202,1,0,0.212,1,0,1,0.4470588235294118,20.0,0.0
217,1,0,0.21,1,0,0,0.5176470588235295,20.0,0.0
374,1,0,0.466,1,0,1,0.3176470588235294,81.81004566210046,1.0
1505,1,1,0.328,1,0,1,0.4235294117647059,20.0,0.0
1388,0,0,0.312,1,0,0,0.47058823529411764,20.0,0.0
1422,1,0,0.528,1,0,1,0.2823529411764706,42.96746943585211,0.0
98,1,0,0.752,1,0,1,0.5882352941176471,81.41095890410959,1.0
2628,1,0,0.344,1,0,1,0.4235294117647059,20.0,0.0
1734,1,0,0.286,1,0,1,0.4470588235294118,45.9328259766616,0.0
2495,1,0,0.368,1,0,1,0.4823529411764706,20.0,0.0
2776,1,0,0.348,1,0,1,0.5176470588235295,20.0,0.0
766,1,0,0.428,1,0,1,0.4235294117647059,81.91506849315068,1.0
2015,1,0,0.234,1,0,1,0.3411764705882353,77.48310502283105,1.0
1025,1,0,0.274,1,0,1,0.23529411764705882,41.56666666666667,0.0
2516,1,0,0.272,1,0,1,0.5647058823529412,20.0,0.0
361,1,0,0.754,1,0,1,0.29411764705882354,79.91963470319635,1.0
2014,1,0,0.358,1,0,1,0.4588235294117647,36.50602168949772,0.0
320,1,0,0.326,1,0,1,0.5294117647058824,20.0,0.0
2625,1,0,0.708,1,0,1,0.4588235294117647,78.72237442922375,1.0
1197,1,0,0.652,1,0,1,0.3411764705882353,78.03579908675799,1.0
44,1,0,0.628,1,0,1,0.3176470588235294,49.84926806338974,0.0
724,0,1,0.354,1,0,0,0.6470588235294118,20.0,0.0
1536,1,0,0.33,1,0,1,0.24705882352941178,20.0,0.0
1136,1,0,0.446,1,0,1,0.32941176470588235,70.37524062941428,0.0
565,1,0,0.512,1,0,1,0.6352941176470588,74.46121667403152,1.0
1870,0,1,0.84,1,0,1,0.5058823529411764,84.47762557077625,1.0
1653,1,0,0.312,1,0,1,0.25882352941176473,20.0,0.0
2141,1,0,0.372,1,0,1,0.4117647058823529,20.0,0.0
1886,1,1,0.28,1,0,1,0.43529411764705883,20.0,0.0
437,1,0,0.602,1,0,1,0.27058823529411763,85.08675799086758,1.0
2520,0,0,0.382,1,0,0,0.4470588235294118,20.0,0.0
2001,1,0,0.544,1,0,1,0.6352941176470588,79.42664398103715,1.0
